tournament_name,tournament_id,par,pot,start_time,end_time,status,played,winner
The Sentry,R2024016,72,0,,,completed,no,
The American Express,R2024002,72,0,,,completed,no,
Farmers Insurance Open,R2024004,72,0,,,completed,no,
AT&T Pebble Beach Pro-Am,R2024005,72,0,,,completed,no,
WM Phoenix Open,R2024003,71,$10,,,current,yes,
