User ID,Tier 1,Tier 2,Tier 3,Tier 4,tournament_name,tournament_id,year
zshirah,46046,39977,55182,29725,The Sentry,R2024016,2024
hshirah,52955,33141,51766,47591,The Sentry,R2024016,2024
