year,tournament_id,tournament_name,execution_time,player_id,first_name,last_name,display_name,status,owgr
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,33204,Shane,Lowry,"Lowry, Shane",IN,51
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,52215,Robert,MacIntyre,"MacIntyre, Robert",IN,67
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,34466,Peter,Malnati,"Malnati, Peter",IN,211
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,33413,Ben,Martin,"Martin, Ben",IN,236
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,32839,Hideki,Matsuyama,"Matsuyama, Hideki",IN,54
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,47993,Denny,McCarthy,"McCarthy, Denny",IN,43
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,46442,Maverick,McNealy,"McNealy, Maverick",IN,197
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,32640,Troy,Merritt,"Merritt, Troy",IN,228
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,39546,Keith,Mitchell,"Mitchell, Keith",IN,78
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,55789,Taylor,Montgomery,"Montgomery, Taylor",IN,88
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,26596,Ryan,Moore,"Moore, Ryan",IN,229
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,49947,Taylor,Moore,"Moore, Taylor",IN,59
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,28593,Jesse,Mueller,"Mueller, Jesse",IN,
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,34213,Grayson,Murray,"Murray, Grayson",IN,52
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,36871,Matt,NeSmith,"NeSmith, Matt",IN,158
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,27349,Alex,Noren,"Noren, Alex",IN,61
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,51070,Vincent,Norrman,"Norrman, Vincent",IN,87
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,51997,Andrew,Novak,"Novak, Andrew",IN,307
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,29908,C.T.,Pan,"Pan, C.T.",IN,200
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,47679,Victor,Perez,"Perez, Victor",IN,90
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,49771,J.T.,Poston,"Poston, J.T.",IN,37
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,28252,Seamus,Power,"Power, Seamus",IN,104
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,34256,Andrew,Putnam,"Putnam, Andrew",IN,60
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,46414,Aaron,Rai,"Rai, Aaron",IN,73
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,47983,Chad,Ramey,"Ramey, Chad",IN,238
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,26476,Chez,Reavie,"Reavie, Chez",IN,127
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,37275,Sam,Ryder,"Ryder, Sam",IN,108
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,46046,Scottie,Scheffler,"Scheffler, Scottie",IN,1
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,47347,Adam,Schenk,"Schenk, Adam",IN,53
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,48867,Matti,Schmid,"Schmid, Matti",IN,135
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,24502,Adam,Scott,"Scott, Adam",IN,48
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,46441,Robby,Shelton,"Shelton, Robby",IN,148
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,51890,Greyson,Sigg,"Sigg, Greyson",IN,177
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,27649,Brandt,Snedeker,"Snedeker, Brandt",IN,739
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,39324,J.J.,Spaun,"Spaun, J.J.",IN,109
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,34046,Jordan,Spieth,"Spieth, Jordan",IN,16
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,26679,Kevin,Stadler,"Stadler, Kevin",IN,
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,30692,Scott,Stallings,"Stallings, Scott",IN,115
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,55893,Sam,Stevens,"Stevens, Sam",IN,130
