year,tournament_id,tournament_name,execution_time,player_id,first_name,last_name,display_name,status,owgr
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,32640,Troy,Merritt,"Merritt, Troy",IN,202
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,39546,Keith,Mitchell,"Mitchell, Keith",IN,80
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,55789,Taylor,Montgomery,"Montgomery, Taylor",IN,82
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,26596,Ryan,Moore,"Moore, Ryan",IN,212
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,34213,Grayson,Murray,"Murray, Grayson",IN,46
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,36871,Matt,NeSmith,"NeSmith, Matt",IN,153
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,27349,Alex,Noren,"Noren, Alex",IN,60
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,51997,Andrew,Novak,"Novak, Andrew",IN,289
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,59160,John,Pak,"Pak, John",IN,801
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,23320,Ryan,Palmer,"Palmer, Ryan",IN,192
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,48153,Matthieu,Pavon,"Pavon, Matthieu",IN,77
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,40250,Taylor,Pendrith,"Pendrith, Taylor",IN,93
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,47806,Raul,Pereda,"Pereda, Raul",IN,908
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,57900,Chandler,Phillips,"Phillips, Chandler",IN,237
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,49771,J.T.,Poston,"Poston, J.T.",IN,36
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,34256,Andrew,Putnam,"Putnam, Andrew",IN,57
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,46414,Aaron,Rai,"Rai, Aaron",IN,66
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,47983,Chad,Ramey,"Ramey, Chad",IN,218
